"","FIPS_CODE","Total_Pop","Male_Pop_Prop","Total_White","Total_Black","Total_Hispanic","Total_Other","Total_Households_Below_Poverty","Total_Households_Above_Poverty","total cases","1 week MAE","2 week MAE","3 week MAE","4 week MAE","1 week MAE base","2 week MAE base","3 week MAE base","4 week MAE base","1 week RMAE","2 week RMAE","3 week RMAE","4 week RMAE"
"1","01001",55200,0.486847826086957,42437,10565,1528,2198,3175,17940,13559,82.2033898305085,92.0338983050847,85.3389830508475,98.7966101694915,79.1216216216216,89.9594594594595,89.8648648648649,105.648648648649,1.03894976045391,1.0230597077627,0.949636803874092,0.935143150747298
"2","01003",208107,0.486230640968348,179526,19764,9353,8817,8656,69966,54312,322.35593220339,337.491525423729,355.491525423729,379.474576271186,310.648648648649,368.337837837838,428,485.621621621622,1.03768657486736,0.916255379585278,0.830587676223665,0.781420265028601
"3","01005",25782,0.531262120859514,12216,12266,1106,1300,2383,6803,4622,32.9152542372881,36.9491525423729,36.5762711864407,38.728813559322,32.9189189189189,37.3513513513514,38.6216216216216,40.6756756756757,0.999888675516963,0.989232014520837,0.947041311335413,0.952136944647784
"4","01007",22527,0.539441559018067,17268,5018,547,241,968,5872,5507,40.2033898305085,41.7627118644068,44.4406779661017,49.3220338983051,35.7837837837838,37.8243243243243,40.6621621621622,47.3648648648649,1.12350862819397,1.10412314325334,1.09292461598256,1.041321115114
"5","01009",57645,0.493260473588342,55054,862,5261,1729,2944,17656,13353,86.6440677966102,98.6271186440678,102.813559322034,102.661016949153,82.6621621621622,97.7432432432432,108.743243243243,113.297297297297,1.04817083814765,1.00904282865492,0.945470782879397,0.906120617156165
"6","01011",10352,0.547044049459042,2276,7893,51,183,1215,2394,1629,11.271186440678,12.3898305084746,12.9491525423729,13.2033898305085,12.5405405405405,14.1081081081081,15.2837837837838,15.7702702702703,0.898779953243717,0.87820637703747,0.847247823285228,0.837232945550666
"7","01013",20025,0.467815230961298,10414,9055,67,556,1537,5171,3848,26.1525423728814,28.1694915254237,26.7118644067797,28.4576271186441,29.2162162162162,30.7702702702703,31.2972972972973,32.0810810810811,0.895137898054218,0.915477546280789,0.853487895553409,0.887053246326732
"8","01015",115098,0.480590453352795,85558,23676,4203,5864,8611,36422,29112,182.491525423729,215.542372881356,221,238.152542372881,162.364864864865,200.608108108108,220.986486486486,239.081081081081,1.12395945745784,1.07444497091414,1.00006115085917,0.996116218380806
"9","01017",33826,0.480606633950216,19483,13319,768,1024,2414,11102,7106,48.2542372881356,53.3559322033898,60.8135593220339,64.2372881355932,49.6891891891892,52.1756756756757,60.4054054054054,64.6621621621622,0.971121446647276,1.02262081923099,1.00675691047662,0.993429325398934
"10","01019",25853,0.49588055544811,23997,1267,398,589,1821,8785,3793,29.6271186440678,33.7118644067797,36,37.7796610169492,25.9594594594595,29.5405405405405,32.4054054054054,36.1081081081081,1.14128411226497,1.14120675484981,1.11092577147623,1.04629300720593
"11","01021",43930,0.493330298201685,36599,4148,3416,3183,3205,13546,8751,54.0169491525424,59.1864406779661,61.7457627118644,66.6949152542373,51.1891891891892,59.7432432432432,66.8783783783784,74.4324324324324,1.05524135092084,0.990680074682084,0.923254483871078,0.896046428615388
"12","01023",13075,0.478240917782027,7420,5590,73,65,1190,4160,760,5.13559322033898,5.74576271186441,6.23728813559322,6.10169491525424,6.72972972972973,7.63513513513514,7.52702702702703,7.58108108108108,0.763120277721054,0.752542372881356,0.828652283723336,0.804858152814284
"13","01025",24387,0.473161930536761,12935,11173,48,279,2596,6762,6110,41.4915254237288,45.7627118644068,45.7118644067797,50.3220338983051,38.1621621621622,42.9324324324324,47.3108108108108,55.3108108108108,1.08724252172661,1.06592404090844,0.966203360783118,0.909804668574292
"14","01027",13378,0.483181342502616,11106,1977,415,295,1036,4200,3035,21.2372881355932,23.8474576271186,25.5084745762712,27.1694915254237,18.6216216216216,22.1081081081081,24.027027027027,27.0540540540541,1.14046394922634,1.07867473374498,1.06165754704391,1.00426691952116
"15","01029",14938,0.487414647208462,14068,393,362,477,1158,4568,3172,25.2542372881356,26.7796610169492,26.9830508474576,30.9152542372881,20.8783783783784,23.5810810810811,24.6216216216216,28.054053749997,1.20958806428611,1.13564178524598,1.09590876109323,1.10198884313792
"16","01031",51288,0.493565746373421,38923,8829,3549,3536,2971,16818,12870,85.6949152542373,91.9491525423729,99.4576271186441,102.610169491525,74.5675675675676,88.027027027027,101.540540540541,112.405405405405,1.1492250324055,1.04455592387713,0.979486878730325,0.912857963738024
"17","01033",54495,0.478484264611432,43288,8615,1349,2592,3629,18170,11093,58.4406779661017,69.1694915254237,70.5254237288136,73.406779661017,55.7162162162162,65.554054054054,73.3513513513514,78.9324324324324,1.04889890116215,1.05515200430455,0.961474089154791,0.929995154068696
