"","FIPS_CODE","Total_Pop","Male_Pop_Prop","Total_White","Total_Black","Total_Hispanic","Total_Other","Total_Households_Below_Poverty","Total_Households_Above_Poverty","total cases","4 week ahead mean error","3 week ahead mean error","2 week ahead mean error","1 week ahead mean error","4 week ahead absolute error mean","3 week ahead absolute error mean","2 week ahead absolute error mean","1 week ahead absolute error mean","4 week ahead absolute error median","3 week ahead absolute error median","2 week ahead absolute error median","1 week ahead absolute error median","4 week ahead absolute error q1","3 week ahead absolute error q1","2 week ahead absolute error q1","1 week ahead absolute error q1","4 week ahead absolute error q3","3 week ahead absolute error q3","2 week ahead absolute error q3","1 week ahead absolute error q3"
"11","01021",43930,0.493330298201685,36599,4148,3416,3183,3205,13546,8751,-38.2162162162162,-37.2837837837838,-35.4459459459459,-32.7567567567568,74.4324324324324,66.8783783783784,59.7432432432432,51.1891891891892,47,39.5,30,26,18.25,17.25,12.25,11,109,82,74,50.75
"12","01023",13075,0.478240917782027,7420,5590,73,65,1190,4160,760,-0.337837837837838,-0.22972972972973,-0.202702702702703,-0.027027027027027,7.58108108108108,7.52702702702703,7.63513513513514,6.72972972972973,6,5.5,6,4,3,2,3,2.25,10,10,9,9
"13","01025",24387,0.473161930536761,12935,11173,48,279,2596,6762,6110,-18.2297297297297,-16.8513513513514,-15.7702702702703,-14.5135135135135,55.3108108108108,47.3108108108108,42.9324324324324,38.1621621621622,36,25,20.5,18,11.25,5,7.5,8,71.75,58.25,43.75,39
"14","01027",13378,0.483181342502616,11106,1977,415,295,1036,4200,3035,-14.5135135135135,-13.7837837837838,-13.0540540540541,-11.8648648648649,27.0540540540541,24.027027027027,22.1081081081081,18.6216216216216,15.5,11.5,10,9,6,5,5,3,33.5,28.75,23.5,18.5
"15","01029",14938,0.487414647208462,14068,393,362,477,1158,4568,3172,-18.9189186148618,-15.5675675675676,-14.7162162162162,-13.8513513513514,28.054053749997,24.6216216216216,23.5810810810811,20.8783783783784,13.5,10,11,7,5,5,5,3,30.5,26.75,26.75,18.75
"16","01031",51288,0.493565746373421,38923,8829,3549,3536,2971,16818,12870,-56.4864864864865,-54.1891891891892,-51.5675675675676,-48.8918918918919,112.405405405405,101.540540540541,88.027027027027,74.5675675675676,67.5,50,37,29,18,18,14,14,185,158.5,116,67.5
"17","01033",54495,0.478484264611432,43288,8615,1349,2592,3629,18170,11093,-38.8513513513514,-36.7567567567568,-33.9324324324324,-31.2567567567568,78.9324324324324,73.3513513513514,65.554054054054,55.7162162162162,51.5,51,31,23,10.25,14.75,12,12,129.75,119,110.25,62.5
"18","01035",12514,0.482419689947259,6369,5971,105,174,981,3593,2297,-11.48648635135,-10.9054054054054,-9.75675675675676,-8.7972972972973,20.459459324323,19.527027027027,18.2702702702703,17.472972972973,9,9,7.5,6,4,3,3,3,24.75,27,21.5,13
"19","01037",10855,0.506771073238139,7133,3713,50,9,570,3533,2534,-12.4054054054054,-11.7162162162162,-11.3513513513514,-10.4324324324324,24.1621621621622,22.6081081081081,22.3513513513514,20.3243243243243,16,16,13,10.5,4.25,2.25,4.25,3,35.75,31.75,30.75,28.75
"20","01039",37351,0.486519771893657,31624,4826,604,901,2740,12268,8890,-39.1486486486486,-37.6486486486486,-35.1756756756757,-32.1756756756757,75.1486486486486,72.6216216216216,68.3648648648649,62.8783783783784,40,42,32.5,24,13,15.75,10.5,13,109,83,79.5,72
"21","01041",13865,0.491453299675442,9938,3198,275,729,900,4125,3336,-14.9459459459459,-14.2297297297297,-13.1756756756757,-12.0405405405405,30.2432432432432,27.7432432432432,25.4189189189189,22.2837837837838,13,11.5,10,9,6,5.25,6,4,43.5,36.75,26.75,18.75
"22","01043",82313,0.492753271050745,78392,998,3543,2923,4859,25871,19416,-97.2027027027027,-91.2162162162162,-83.0135135135135,-76.3243243243243,168.22972972973,156.594594594595,136.689189189189,112.972972972973,136.5,119,69.5,45,26.5,27,25.25,21.5,268,229.75,180.75,123.75
"23","01045",49255,0.492010963353974,35889,9749,3070,3617,3292,15378,12377,-66.1216193918696,-62.4054054054054,-58.9189189189189,-55.2837837837838,116.013511283761,106.378378378378,94.9189189189189,79.5,73,53.5,43,27.5,19.25,14.25,15.25,11.25,148.75,157,115.25,92.5
"24","01047",40029,0.460865872242624,11257,28210,412,562,4697,11639,5335,-11.4864864864865,-10.7837837837838,-9.22972972972973,-7.85135135135135,44.7027027027027,43.7567567567568,43.0405405405405,40.3108108108108,26,27.5,30,23,10.25,12.25,11,7,56.5,54.75,57,52.5
"25","01049",71200,0.495842696629213,60972,1004,10220,9224,5610,20522,15411,-58.3648648648649,-54.8108108108108,-50.2972972972973,-45.7702702702703,115.472972972973,102.891891891892,90.2702702702703,79.9864864864865,104.5,76,35,36,22.75,15.5,16,14,186.5,158.5,148,95
"26","01051",81212,0.485765650396493,60824,17402,2347,2986,3703,25440,19870,-74.6756756756757,-69.2162162162162,-63.2027027027027,-58.1486486486486,168.837837837838,149.567567567568,130.121621621622,111.202702702703,122,93,75.5,49,49,42.25,23.25,23,248.25,202,182.75,100.75
"27","01053",37328,0.51079618516931,23095,11920,838,2313,3296,10132,9266,-45.972972972973,-44.4189189189189,-40.6891891891892,-37.4594594594595,82.6756756756757,78.1216216216216,68.2837837837838,62.027027027027,41.5,29,21.5,20,7,7.5,7,6,114.5,116.75,95.75,54.75
"28","01055",102939,0.482334197923042,82710,16212,3880,4017,6382,32395,25522,-99.4324324324324,-91.945945945946,-86.5405405405405,-79.2432432432432,204.621621621622,177.648648648649,148.621621621622,127.621621621622,169.5,113.5,70.5,68.5,45.75,25,21.25,16.25,334.25,268.25,214.5,145.5
"29","01057",16585,0.492613807657522,14095,1978,285,512,1398,5549,3762,-12.7972972972973,-11.9459459459459,-11.0540540540541,-9.86486486486486,28.527027027027,26.8378378378378,23.4594594594595,19.4594594594595,17.5,17.5,14,12,8,8,7,5,45.5,41.75,34.25,22.75
"30","01059",31542,0.494642064548856,26467,1388,5333,3687,1914,9296,6835,-18.3783783783784,-16.6081081081081,-15.3243243243243,-12.972972972973,56.6756756756757,55.2837837837838,50.3513513513514,45.027027027027,34.5,36,28,24,11.5,11,9,6,96,87,82,61.25
"31","01061",26491,0.489637990260843,22871,2529,1027,1091,2374,8105,6309,-36.7162162162162,-34.9054054054054,-32.4054054054054,-29.4864864864865,60.0135135135135,54.2297297297297,48.8918918918919,42.7027027027027,32,21.5,22.5,14,6.5,10.25,6,5,84.75,79.25,54.75,43.5
"32","01063",8426,0.468787087586043,1445,6713,143,268,1150,1805,1494,-2.98648648648649,-2.74324324324324,-2.54054054054054,-2.36486486486486,13.2027027027027,12.0405405405405,12.6756756756757,10.8513513513514,9,7.5,9.5,7,4,3,4,2.25,17,14,16.5,13.75
"33","01065",14887,0.471485188419426,5898,8748,130,241,1586,4072,3798,-9.41891891891892,-8.81081081081081,-8.16216216216216,-7.39189189189189,30.0945945945946,27.4054054054054,24.9189189189189,20.3108108108108,22.5,20.5,17,10,6.25,7,6.25,3,44.75,38.5,34.5,29.75
"34","01067",17124,0.48072880168185,12179,4749,448,196,1042,5627,4227,-19.5540540540541,-18.5945945945946,-17.1216216216216,-15.5945945945946,39.5,36.972972972973,33.1756756756757,29.3243243243243,21,19.5,17,12,8.25,7.25,6.25,5,66.75,59.75,44.75,40
"35","01069",104352,0.479425406317081,72387,28078,3437,3887,6755,32498,23538,-113.364864864865,-105.216216216216,-99.2162162162162,-92.2567567567568,208.716216216216,186.486486486486,164.837837837838,151.148648648649,110,96,66.5,48.5,32.25,30.25,20.5,19.25,322.25,262,225,200.25
"36","01071",52094,0.490190808922333,47412,1799,1505,2883,4089,16537,12169,-50.4054054054054,-47.2972972972973,-43.0675675675676,-38.9594594594595,99.945945945946,90.1081081081081,81.2027027027027,66.8783783783784,79.5,65,48,28.5,17.75,15,11,9.25,159.75,136.75,121.5,96.5
"37","01073",659892,0.473331999781782,342591,281702,25048,35599,43269,217655,153775,-596.081081081081,-571.608108108108,-543.175675675676,-504.256756756757,1310.24324324324,1135.39189189189,971.337837837838,803.878378378378,933.5,834,552,265.5,217,118.25,154.5,120.25,2339.25,1770.5,1471.5,862.75
"38","01075",13933,0.488049953348166,12187,1558,218,188,1268,4706,2571,-10.972972972973,-9.91891891891892,-9.16216216216216,-8.17567567567568,21.972972972973,19.7567567567568,18.6756756756757,15.1756756756757,13.5,11,10,7,5.25,4.25,5,4,32.75,30,26.75,19
"39","01077",92585,0.478641248582384,80561,9364,2412,2660,6298,32216,18455,-75.1891891891892,-71.2837837837838,-65.8513513513514,-61.0405405405405,144.216216216216,129.959459459459,110.283783783784,100.743243243243,105.5,78,39,40.5,24.5,18.5,18,17.25,251.75,223.5,173,117
"40","01079",33171,0.48243948026891,25942,3627,707,3602,2169,10642,5620,-19.7702702702703,-19.0405405405405,-18.1486486486486,-16.7432432432432,46.6621621621622,38.8783783783784,32.6081081081081,28.4459459459459,34,23,19,14,14,6.5,7.25,7.25,71.25,62.25,38.5,32.5
"41","01081",159287,0.492017553221544,111986,36675,5865,10626,13131,46242,30973,-116.581081081081,-108.310810810811,-100.702702702703,-93.3918918918919,269.797297297297,244.202702702703,220.72972972973,189.689189189189,159.5,116,83,62.5,32.5,27.5,36.75,27.25,392.75,365.75,262.75,165.25
"42","01083",93052,0.498936078751666,75143,12468,5479,5441,4361,27765,19655,-89.2702702702703,-84.1216216216216,-76.8648648648649,-70.1216216216216,156.351351351351,138.013513513514,120.756756756757,106.148648648649,105.5,83.5,65.5,50,25,28.25,23,20.25,253.5,195,162.75,120.5
"43","01085",10236,0.471864009378664,2546,7601,70,89,1229,2951,1880,0.0945945945945946,0.256756756756757,0.635135135135135,0.918918918918919,17.0945945945946,17.0675675675676,15.9054054054054,15.6216216216216,11,13,9,9,5,5,4,4,26.5,25.75,25.5,17.75
"44","01087",19054,0.461320457646688,3025,15740,328,289,2040,5597,2976,-9.95945945945946,-9.44594594594595,-8.62162162162162,-8.16216216216216,20.1216216216216,20.1486486486486,18.7837837837838,17.8918918918919,13,13.5,12,12.5,5,6,6.25,4.25,28.75,30.75,24.5,21
"45","01089",357560,0.488491441995749,243835,86012,17294,27713,18835,126421,69435,-293.405405405405,-278.175675675676,-260.527027027027,-240.027027027027,550.378378378378,474.22972972973,404.391891891892,327.405405405405,414,314.5,240,171,105.5,101.25,65.5,56.5,840.5,754.5,482.75,356.25
"46","01091",19538,0.483468113420002,8855,10518,115,165,2127,5641,4133,-10.8513513513514,-10.1756756756757,-9.28378378378378,-8.17567567567568,38.8513513513514,36.0945945945946,31.5540540540541,27.1486486486486,31,26.5,21.5,16,13,11.25,9,5,57,53,45.75,39.75
